HomeTeam,AwayTeam,Year,HomeGoals,AwayGoals,TotalGoals
Republic of Ireland,Netherlands,1990,1,1,2
Brazil,Costa Rica,1990,1,0,1
Costa Rica,Scotland,1990,1,0,1
Brazil,Sweden,1990,2,1,3
Cameroon,Soviet Union,1990,0,4,4
Cameroon,Romania,1990,2,1,3
Argentina,Soviet Union,1990,2,0,2
Sweden,Scotland,1990,1,2,3
Soviet Union,Romania,1990,0,2,2
Austria,United States,1990,2,1,3
Italy,Czechoslovakia,1990,2,0,2
Austria,Czechoslovakia,1990,0,1,1
Italy,United States,1990,1,0,1
United States,Czechoslovakia,1990,1,5,6
Italy,Austria,1990,1,0,1
Argentina,Cameroon,1990,0,1,1
Brazil,Scotland,1990,1,0,1
Argentina,Romania,1990,1,1,2
United Arab Emirates,Colombia,1990,0,2,2
Republic of Ireland,Egypt,1990,0,0,0
Sweden,Costa Rica,1990,1,2,3
Netherlands,Egypt,1990,1,1,2
England,Republic of Ireland,1990,1,1,2
South Korea,Uruguay,1990,0,1,1
Belgium,Spain,1990,1,2,3
South Korea,Spain,1990,1,3,4
Belgium,Uruguay,1990,3,1,4
England,Netherlands,1990,0,0,0
Belgium,South Korea,1990,2,0,2
Uruguay,Spain,1990,0,0,0
West Germany,Yugoslavia,1990,4,1,5
Yugoslavia,Colombia,1990,1,0,1
England,Egypt,1990,1,0,1
West Germany,Colombia,1990,1,1,2
Yugoslavia,United Arab Emirates,1990,4,1,5
West Germany,United Arab Emirates,1990,5,1,6
England,Senegal,2022,3,0,3
Japan,Croatia,2022,1,1,2
Brazil,South Korea,2022,4,1,5
Morocco,Spain,2022,0,0,0
Portugal,Switzerland,2022,6,1,7
Croatia,Brazil,2022,1,1,2
Netherlands,Argentina,2022,2,2,4
England,France,2022,1,2,3
France,Poland,2022,3,1,4
France,Morocco,2022,2,0,2
Croatia,Morocco,2022,2,1,3
Argentina,France,2022,3,3,6
Morocco,Portugal,2022,1,0,1
Argentina,Croatia,2022,3,0,3
Qatar,Ecuador,2022,0,2,2
South Korea,Portugal,2022,2,1,3
France,Denmark,2022,2,1,3
Tunisia,Australia,2022,0,1,1
France,Australia,2022,4,1,5
Denmark,Tunisia,2022,0,0,0
Saudi Arabia,Mexico,2022,1,2,3
Poland,Argentina,2022,0,2,2
Argentina,Mexico,2022,2,0,2
Poland,Saudi Arabia,2022,2,0,2
Mexico,Poland,2022,0,0,0
Argentina,Saudi Arabia,2022,1,2,3
Iran,United States,2022,0,1,1
Wales,England,2022,0,3,3
England,United States,2022,0,0,0
Wales,Iran,2022,0,2,2
United States,Wales,2022,1,1,2
England,Iran,2022,6,2,8
Netherlands,Qatar,2022,2,0,2
Ecuador,Senegal,2022,1,2,3
Netherlands,Ecuador,2022,1,1,2
Qatar,Senegal,2022,1,3,4
Senegal,Netherlands,2022,0,2,2
Australia,Denmark,2022,1,0,1
Netherlands,United States,2022,3,1,4
Tunisia,France,2022,1,0,1
Spain,Costa Rica,2022,7,0,7
Ghana,Uruguay,2022,0,2,2
Portugal,Uruguay,2022,2,0,2
South Korea,Ghana,2022,2,3,5
Portugal,Ghana,2022,3,2,5
Uruguay,South Korea,2022,0,0,0
Cameroon,Brazil,2022,1,0,1
Serbia,Switzerland,2022,2,3,5
Brazil,Switzerland,2022,1,0,1
Cameroon,Serbia,2022,3,3,6
Brazil,Serbia,2022,2,0,2
Switzerland,Cameroon,2022,1,0,1
Canada,Morocco,2022,1,2,3
Croatia,Belgium,2022,0,0,0
Croatia,Canada,2022,4,1,5
Belgium,Morocco,2022,0,2,2
Belgium,Canada,2022,1,0,1
Morocco,Croatia,2022,0,0,0
Costa Rica,Germany,2022,2,4,6
Japan,Spain,2022,2,1,3
Spain,Germany,2022,1,1,2
Japan,Costa Rica,2022,0,1,1
Germany,Japan,2022,1,2,3
Argentina,Australia,2022,2,1,3
